v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
0.0,0.0,0.0,0.0,0.0,0.0,0.013424388,0.78406143,0.0,0.0,0.870032,0.0,0.0,0.0,0.27463186,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459151,0.0,0.0,0.9870167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90576303,0.0,0.0,0.44839662,0.0,0.0,0.0,0.0,0.0,0.7129732,0.4606844,0.8215891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28534323,0.0,0.0,0.47691575,0.0,0.43840832,0.2640782,0.0,0.0,0.0,0.77568257,0.0,0.0,0.0,0.87426513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.018185902,0.0,0.0,0.0,0.0,0.85614103,0.0,0.0,0.0,0.0,0.84143025,0.0,0.0,0.0,0.0,0.0,0.0,0.8488748,0.0,0.0,0.0,0.0,0.99231094,0.0,0.0,0.0,0.0,0.0,0.0,0.110797875,0.0,0.0,0.0,0.5962431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48559186,0.0,0.0,0.0,0.0,0.0,0.6177599,0.6984601,0.60144365,0.0,0.4973072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.39366078,0.0,0.92621285,0.91910064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535152,0.0,0.0,0.0,0.0,0.0,0.0,0.62490344,0.0,0.0,0.0,0.89198446,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5857241,0.0,0.0,0.0,0.17475882,0.0,0.735944,0.0,0.0,0.0,0.82592314,0.0,0.0,0.88471514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26905954,0.0,0.40210697,0.0,0.56707615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43195984,0.0,0.0,0.0,0.12764308,0.8822626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00641187,0.0,0.0,0.0,0.0,0.7559306,0.0,0.11660888,0.0,0.0,0.0,0.0,0.32293862,0.0,0.0,0.0,0.7032943,0.22958514,0.9100592,0.5765967,0.0,0.0,0.0,0.62617844,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53185725,0.0,0.0,0.0,0.0,0.8793299,0.0,0.0,0.0,0.0,0.0,0.0,0.85170907,0.0,0.0,0.0,0.0,0.93047315,0.0,0.0,0.0,0.0,0.0,0.0,0.0993493,0.0,0.0,0.0,0.61986494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4434439,0.0,0.0,0.0,0.0,0.0,0.7202084,0.6381503,0.5537555,0.0,0.49987707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730019,0.0,0.0,0.0,0.35516673,0.0,0.9531561,0.8721132,0.0,0.0,0.0,0.0,0.0048444616,0.0,0.0,0.0,0.0,0.0,0.0,0.60459447,0.0,0.0,0.0,0.0,0.0,0.0,0.6094191,0.0,0.0,0.0,0.8358386,0.0
0.0,0.0,0.0,0.5238115,0.33166635,0.0,0.0,0.4403976,0.4484196,0.0,0.25849903,0.0,0.1699579,0.0,0.0,0.0,0.49333036,0.0,0.0,0.0,0.8753337,0.0,0.0,0.21143381,0.0,0.0,0.0,0.0,0.35381985,0.0,0.4747273,0.0,0.0,0.0,0.0,0.52081555,0.0,0.0,0.0,0.59152883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72704476,0.0,0.0,0.3336845,0.30686027,0.15221354,0.0,0.0,0.0,0.0,0.0,0.2805298,0.0,0.4661759,0.19348142,0.0,0.0,0.0,0.0,0.45990038,0.0,0.3269148,0.0,0.0,0.3534415,0.0,0.0,0.0,0.0,0.44207752,0.0,0.35503927,0.0,0.0,0.0,0.0,0.22743464,0.0,0.0,0.0,0.8393416,0.19756393,0.90785694,0.59817123,0.0,0.36720228,0.0,0.9834979,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.21436183,0.1799025,0.8845721,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13541599,0.20628023,0.72596925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74229026,0.0,0.9262713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75680584,0.0,0.0,0.0,0.0,0.0,0.0,0.8319256,0.0,0.0,0.5401184,0.0,0.0,0.0,0.33917457,0.0,0.0,0.0,0.81390655,0.0,0.0,0.0,0.0,0.3947864,0.44311842,0.0,0.0,0.0,0.28152072,0.95872617,0.0,0.0,0.6350959,0.0,0.0,0.2317103,0.0,0.0,0.0,0.2911074,0.0,0.0,0.0,0.0,0.013284332,0.0,0.3015635,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5004616,0.8277173,0.74660623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25677264,0.0,0.51228464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19277892,0.0,0.0,0.0,0.0,0.0,0.0,0.61021644,0.6771728,0.0,0.0,0.74277925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47430408,0.0,0.0,0.0,0.0,0.0,0.0,0.51568705,0.0,1.0,0.040470567,0.0,0.0,0.0,0.43501273,0.0,0.0,0.0,0.13849093,0.0,0.0,0.0,0.0,0.0,0.11722893,0.0,0.0,0.4887095,0.0,0.7770338,0.0,0.94687593,0.14540248,1.0,0.0,0.0,0.0,0.0,0.0,0.28218132,1.0,0.0,0.0,0.0,0.0,0.0,0.4515931,0.0,0.8827941,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6100434,0.8303618,0.25710863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34370008,0.0,0.0,0.0,0.85433024,0.0,0.0,0.0,0.0,0.14443666,0.0,0.0,0.0,0.0,0.0,0.9558273,0.40658718,0.0,0.0,0.919913,0.0,0.0,0.0,0.51575357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07063675,0.0,0.0,0.0,0.7203869,0.23508352,0.0,0.0,0.2295899,0.0,0.0,0.9313144,0.0,0.0,0.0,0.9007767,0.0,0.0,0.0,0.0,0.0,0.0,0.78814816,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.033512615,0.67891943,0.9066317,0.0,0.0,0.0,0.68145514,0.0,0.0,0.0,0.094796695,0.0,0.0,0.0,0.4464877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71201,0.0,0.9576724,0.0,0.0,0.0,0.0,0.8236928,0.0,0.0,0.0,0.48065108,0.0,0.86292595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489968,0.0,0.0,0.43366843,0.36050272,0.0,0.0,0.0,0.0,0.0,0.0,0.37832454,0.0,0.82080156,0.28110442,0.41268125,0.0,0.0,0.0,0.0,0.0,0.5958634,0.0,0.0,0.47048107,0.0,0.0,0.0,0.0,0.053678483,0.0,0.3471801,0.0,0.0,0.0,0.0,0.06474535,0.0,0.0,0.0,0.46554783,0.024721142,0.5022096,0.44290227,0.0,0.620205,0.0,0.6502579,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031880908,0.7415757,0.04477318,0.0,0.9551401,0.0,0.0,0.0,0.0,0.0,0.90618587,0.0,0.9456444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73151225,0.0,0.0,0.93920845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73958284,0.0,0.0,0.53474456,0.0,0.0,0.0,0.0,0.0,0.7383002,0.5129241,0.8091826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35568082,0.0,0.0,0.50696427,0.0,0.5641543,0.35176826,0.0,0.0,0.0,0.6788532,0.0,0.0,0.0,0.95224226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
